,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
181,82,Tyson Foods,Food Processing,"47,049",8.9%,"137,000","Springdale, Arkansas"
182,83,Bristol-Myers Squibb,Pharmaceutical industry,"46,385",9.1%,"32,200","New York City, New York"
183,84,GSK plc,Pharmaceuticals,"44,700",3.0%,"97,000","Philadelphia, Pennsylvania"
184,85,Nike,Apparel,"44,538",19.1%,"73,300","Beaverton, Oregon"
185,86,John Deere,Agriculture manufacturing,"44,024",23.9%,"75,550","Moline, Illinois"
186,87,American Express,Financial,"43,663",14.3%,"64,000","New York City, New York"
187,88,Abbott Laboratories,Medical devices,"43,075",24.5%,"113,000","Chicago, Illinois"
188,89,StoneX Group,Financials,"42,534",21.4%,"3,242","New York City, New York"
189,90,Plains All American Pipeline,Petroleum industry,"42,078",80.7%,"4,100","Houston, Texas"
190,91,Enterprise Products,Petroleum industry,"40,807",50.0%,"6,911","Houston, Texas"
191,92,TIAA,Insurance,"40,526",2.6%,"15,065","New York City, New York"
192,93,Oracle Corporation,Software,"40,479",3.6%,"132,000","Austin, Texas"
193,94,Thermo Fisher Scientific,Laboratory instruments,"39,211",21.7%,"129,000","Waltham, Massachusetts"
194,95,Coca-Cola Company,Beverages,"38,655",17.1%,"79,000","Atlanta, Georgia"
195,96,General Dynamics,Airspace and defense,"38,469",8.7%,"103,100","Reston, Virginia"
196,97,CHS,Agriculture cooperative,"38,448",1.4%,"9,941","Inver Grove Heights, Minnesota"
197,98,USAA,Financials,"37,470",3.2%,"37,335","San Antonio, Texas"
198,99,Northwestern Mutual,Insurance,"36,751",8.8%,"7,585","Milwaukee, Wisconsin"
199,100,Nucor,Metals,"36,484",81.2%,"28,800","Charlotte, North Carolina"
